"city","requirement"
"Алматы ","Аскорбиновая кислота в ампулах "
"Алматы, г.","Куплю любой  противовирусный препарат!  Хоть пол упаковки. "
"Шымкент","Нужен Циклоферон в ампулах"
"Нур-Султан ","здравствуйте помогите пожалуйста ради Аллаха🙏🙏🙏😔очень нуждаюсь в деньгах на продукты.Пришлось продать все что было .Кроме телефона все продала.Помогите кто чем может хоть продукты,хоть ребенку на молоко ,не просила никогда так,это ЧП заставило меня пережить тяжёлые времена в съёмной комнате с ребенком на руках без денег ,Аллах видит как мне тяжело,помогите чем можете прошу🙏🙏😔😔🙏🙏Можете приехать всегда рада буду.Спасибо кто помогает .Да будет доволен вами Аллах"
"Поселок","Здравствуйте! Очень очень нуждаемся в финансовой поддержке я мама с двумя маленькими детьми живу со своими родителями которые уже в возрасте в связи с карантином потеряла работу живем на папину пенсию которая вообще не на что не хватает мне очень стыдно обращаться потому что раньше я не обращалась кому либо с просьбой детские садики закрыты и у меня нету выхода чтоб найти дополнительную работу потому что мои родители часто прибаливают то давление то сердце и не в силах присматривать за детками очень стыдно обращаться но у меня больше нет выхода Пусть ваша помощь вернется вам в стократном размере спасибо вам за все благодарю создателей этого сайта за такую помощь спасибо всем!🙏🙏🙏🙏🙏никогда не думала что мы будем так нуждаться честно не верится что я куда то пишу обращаясь за помощью😭 спасибо вам за все🙏4400430187432122..карта.."
"Алматы","Клексан 04 укол не могу найти. "
"Шымкент","Инсулин, инсулиновый шприц. Срочно, пожалуйста "
"Алматы","Здравствуйте, есть ли у кого-то дексометазол и цефтриаксон, назначали при двухсторонней пневмонии. Заплатим и заберём сами. Спасибо!"
"Астана / Нур-Султан","Срочно нужно Клексан 0,4 и Ксарелто 20 мг! "
"Астана","Здравствуйте извините пожалуйста что обращаюсь но мне очень нужна ваша помощь) у меня двое детей маленькие живём одни рощу их одна мужа нет помощи не от кого ждать пожалуйста сколько сможете помогите 4405639789497110"
"Алматы","Нам срочно нужны уколы ""Роцефин"", ""Амикацин"" и ""дексаметазон"". Если кто знает где сейчас продают эти препараты, прошу сообщить. "
"Алматы ","Прочтите пожалуйста Помогите с продуктами ради моих детей , в положении на 7 месяце , мужа нету помочь некому , так плохо оказывается когда некому помочь и работать не можешь... у нас сегодня уже последние продукты я не знаю что будет завтра...просыпаться даже не хочется но ради детей нужно... Я хочу чтобы они были сытыми.. Спасибо за понимание Каспи 87076837285 Можете сами привезти продукты Да Хранит Вас Аллах"
"Алматы ","Ищу Клексан "
"Алматы ","Мне необходимо лекарство Дексаметазон в ампулах, совершенно нет ни в каких аптеках, пожалуйста помогите "
"Алматы","Не можем найти препарат фраксипарин 0.4 6 ампул, помогите найти , купим сами"
"Павлодар","Пожалуйста помогите найти препараты Ксарелто 10мг, фраксипарин "
"Поселок","Здравствуйте! Очень очень нуждаемся в финансовой поддержке я мама с двумя маленькими детьми живу со своими родителями которые уже в возрасте в связи с карантином потеряла работу живем на папину пенсию которая вообще не на что не хватает мне очень стыдно обращаться потому что раньше я не обращалась кому либо с просьбой детские садики закрыты и у меня нету выхода чтоб найти дополнительную работу потому что мои родители часто прибаливают то давление то сердце и не в силах присматривать за детками очень стыдно обращаться но у меня больше нет выхода Пусть ваша помощь вернется вам в стократном размере спасибо вам за все благодарю создателей этого сайта за такую помощь спасибо всем!🙏🙏🙏🙏🙏никогда не думала что мы будем так нуждаться честно не верится что я куда то пишу обращаясь за помощью😭 спасибо вам за все🙏4400430187432122..карта"
"Село Лобанова","Здравствуйте Арман.У меня ровно как неделю умерла тетя(сестра папы).Сейчас болею вся семья дяди (младший брат папы) очень нужный лекарства как так мы живем в селе у нас нету возможностьи что бы их приобрести.Наверное вы знаете как терять близкого это боль которую не передать словами я не хочу терять теперь дядю и его семью пожалуйста помогите пожалуйста "
"Алматы","Здравствуйте,нужна глюкоза в ампулах "
"Алматы-Астана","Срочно куплю для болеющей бабушки препараты КАТЕНОКС и КЛЕКСАН "
"Алматы","Нужен срочно препарат Клексан 0.4, Флексапарин, катенокс"
"Нур-Султан ","Необходимо лекарство Алувиа"
"Алматы","Клекслан"
"Нурсултан","Здравствуйте, Во время карантина закрыли работу Я многодетная Мама Не могу оплатить кредит."
"Город Атырау","Здравствуйте! Очень очень нуждаемся в финансовой поддержке я мама с двумя маленькими детьми живу со своими родителями которые уже в возрасте в связи с карантином потеряла работу живем на папину пенсию которая вообще не на что не хватает мне очень стыдно обращаться потому что раньше я не обращалась кому либо с просьбой детские садики закрыты и у меня нету выхода чтоб найти дополнительную работу потому что мои родители часто прибаливают то давление то сердце и не в силах присматривать за детками очень стыдно обращаться но у меня больше нет выхода Пусть ваша помощь вернется вам в стократном размере спасибо вам за все благодарю создателей этого сайта за такую помощь спасибо всем!🙏🙏🙏🙏🙏никогда не думала что мы будем так нуждаться честно не верится что я куда то пишу обращаясь за помощью😭 спасибо вам за все🙏 (Карта Каспи Голд / 5169497184112674 - Arman Abdibekov)"
"Кокшетау","Привет. Просьба. Срочно найди пожалуйста препараты. Ксорелто или фраксипарин. Мама тяжелая."
"Астана","Фраксипарин или ксаледан. Срочно"
"Щучинск","Всем здоровья,извините что обращаюсь не первый раз,помогите чем сможете.Я воспитываю двоих детей,родители пожилые папа инвалид с сердцем.Прошу помогите нам,с этим карантином потеряла работу,работала хотя младшему ребенку 2 месяца,на пособие детское не проживёшь.Ради Аллаха прошу..."
"Кокшетау","Здравствуйте.Очень вас прошу помочь с лекарствами для мамы.У нас в городе ни где нет такого лекарства.Название «Номидес» из группы Ингавирин"
"Астана","Салеметсиз бе! Мен мед колледжде оқимын соңғы курс  Диплом ала алмай турмын оплата толық жабылмаған 130,000 жетпей тур Көп балалы от басынанмын Папа-Мамада жумыс жоқ Папа ауыл арасына таксават етеді Бар тапқаны  уйден кредиттен аспайды уйге алі ақша таба алмай жатырқ сіздерден өтініш көмектесіп жіберіңіздерші 160мың бере турыңыздаршы қарызға өзім жумыс істеп қайтарамын шын сөзім.. Жаны жомарт жансыздарғой Алла разы болсын! Сіздерге "
"Нур-султан","У меня новорождённый ребёнок, у ребёнка температура поднимается мы нечаянно сломали градусник, в аптеках не можем найти."
"Нур-султан","Гепарин"
"Алматы","ЦЭФ-3 (5амп), Метипред 250 мгв/в (2фл), Циклофосфон 200 мг 2флакон только Российский, Эдарби кло 40мг (2 упаковка), Телмиста Н 80мг/12.5 мг. "
"Алматы","Прочтите пожалуйста Помогите с продуктами ради моих детей , в положении на 7 месяце , мужа нету помочь некому , так плохо оказывается когда некому помочь и работать не можешь... у нас сегодня уже последние продукты я не знаю что будет завтра...просыпаться даже не хочется но ради детей нужно... Я хочу чтобы они были сытыми.. Спасибо за понимание Каспи 87076837285 Можете сами привезти продукты Да Хранит Вас Аллах"
"Алматы","Меропенем, назначен врачом "
"Тараз","Срочно нужен Клексан и тромбопол срочноооо пожалуйста "
"Алматы","Здравствуйте,мне нужен препарат  дексаметазон,азитромецин"
"Алматы","Леволет система- 10 ш Диксометазон 1 пачкасы керек срочно. Әпкем дем жетпей ауырып жатыр"
"Алматы","Нужна аскорбинка в ампулах"
"Павлодар","Здравствуйте, мой дядя болеет. Нужны лекарства: Доброе утро! Метрогил, Дексаметазон, гепарин, физ. Р-р во флаконах."
"Алматинский область ","Мне нужна: дексаметазон ,преднизалон, азитромицин, левофлоксацин , амбробене в ампулах , и витамины с ,в6 , в12, "
"Алматы","Здравствуйте.  Нужен Нутрикомп , белковое питание онко больному."
"Алматы","Здравствуйте) у моей мамы онкология! Нам срочно нужны Феркайл, дексаметазон и преднизолон. В аптеках ни где нету. Мы срочно в этом нуждаемся"
"Алматы","Скиньте пожалуйста деньги на продукты🙏🏻 Kaspi Gold:+77056569322"
"алматы","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Алматы","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Алматы","Срочно Для отца нужно лекарство Клексан 4000, анти-ХА, хе, хб 0,4"
"Астана","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"жезказган","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Актау","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"атырау","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Орал","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Актобе","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Уральск","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Алматы","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"Алматы","Очень нужен препарат протафан"
"Алматы ","Доброе утро! Нужен раствор для инъекций Клексан! Спасибо! "
"алматы","Скиньте пожалуйста на продукты‼ Kaspi Gold:+77056569322"
"НурСултан","Срочно ‼️ Инфизол система 200мг или 400мг без разницы 3 или 4 флакона ) у кого есть отзовитесь пожалуйста)"
"Алматы Шанырак-2,Жылысай 35 уй","Лекарства против грипа, вируса, антисептик, маска дет, взрос если можна"
"Кордай","Парацетамол взрослый срочно"
"Караганда","Нужен левофлоксацин и аскорбиновая кислота в ампулах"
"Алматы","клексан 0,4 - 2 упаковк арбидол или арпефлю 800 мг на 10 дней"
"Алматы","Помогите нужны лекарства Пролия 60 мг.1 укол., Дефлекс - 3 упаковки. Кальции Д3 ниеомед остеофорте 100 шт.упаковка. являюсь инвалидом 1 группы."
"Алматы","Нужен реамберин куплю! Срочно 5шт"
"Алматы","Прочтите пожалуйста Помогите с продуктами ради моих детей , в положении на 7 месяце , мужа нету помочь некому , так плохо оказывается когда некому помочь и работать не можешь... у нас сегодня уже последние продукты я не знаю что будет завтра...просыпаться даже не хочется но ради детей нужно... Я хочу чтобы они были сытыми.. Спасибо за понимание Каспи 87076837285 Можете сами привезти продукты Да Хранит Вас Аллах"
"Шортанды ","Тысячу раз думала писать не писать, всегда думала зачем люди просят когда можно работать когда знаешь что рождается ребёнок для себя, а не для государства! Или когда у известных людей просят о помощи вообще не понимала потому что считала чем шикарней жизнь тем шикарней расходы! Но до сегодняшнего дня никогда в жизни не думала что дойдёт наша семья до такой ситуации 🤕даже трафик на днях должен закончится последние дни в интернете в сфере информационной активности 😑 Вот реально для чего дипломы государственная работа стабильность когда в один момент остаёшься без продуктов и копеек на хлеб не говоря уже о лекарствах 😔 Очень тяжело когда дети просят что что-то сладкое или фрукты аж плакать хочется 😪и ради детей в долгах как в шелках в магазине. Я мама двух мальчишек и учитель работаю в школе хотя по закону ещё в декрете должна сидеть вышла из-за не хватки средств не на жизнь, а на выживание в нашем Казахстане. Живём в посёлке 60 км. От Нурсултана муж работает в городе тренером, но как начался карантин ещё с 16 марта всё пошло в пух и прах. На сегодняшний день ситуация такая что 1.продуктов нет (из лекарства только курдючный жир) 2.долги растут в магазинах просто даже из-за хлеба и молока 3.кредиты отдельная история даже говорить не хочется СТЫДНО 4.хоть крыша над головой есть, но после ливней всё стекает теперь в нашем доме происходит следующее замыкание пошло кабель сгорел неделю без света представляете как детям маленьким объяснить что света нет и не могу им из-за этого включить телевизор мультики, сотку заряжаешь у соседей , хорошо что хоть газ есть чтобы кушать готовить🙏 Как говорится мир не без добрых людей сегодня смогли нам сделать свет , но пришла квитанция что из-за долгов могут отрезать🥴как я устала вроде крутиться что что-то пытаешься сделать но всё равно не живёшь, а выживаешь! А скоро зима и снова нас всех закрыли на ЧП на что будем уголь брать даже не представляю. Но всё равно считаю что это мелочи жизни которые когда-нибудь пройдут главное что мои дети здоровы, муж рядом поддерживает спасибо Аллаху 🙌❤ Вы молодцы что так поддерживаете население хотела бы что ваша помощь в первую очередь пришла тем кто действительно нуждается! А вашим деткам кто помогает хочу пожелать главное здоровье, а ваша добро что вы делаете чтобы вам в тысячу раз вернулось ❤"
"Кызылорда ","Глюкоза"
"Кокшетау","Ксарелто"
"Алматы ","Клексан"
"Астана","Ксарелто 15мг,Дексаметазон  ,кислородный балон"
"Алматы ","Дексаметазон раствор "
"Тараз","Карбамазепин"
"шымкент","Нужен Клексан 02 или 04  в чимкент срочно"
"Аягоз","Зитрокс 500 таб керек срочно кайдан алуга болады. Адреса аптек"
"Алматы ","Прочтите пожалуйста Помогите с продуктами ради моих детей , в положении на 7 месяце , мужа нету помочь некому , так плохо оказывается когда некому помочь и работать не можешь... у нас сегодня уже последние продукты я не знаю что будет завтра...просыпаться даже не хочется но ради детей нужно... Я хочу чтобы они были сытыми.. Спасибо за понимание Каспи 87076837285 Можете сами привезти продукты Да Хранит Вас Аллах"
"Алматы","Нужен фраксипарин"
"Семей","у меня отец болит мне нужна лекарства клексан 1упаковк  дексаметозон 1упаковка "
"Поселок","Здравствуйте! Очень очень нуждаемся в финансовой поддержке я мама с двумя маленькими детьми живу со своими родителями которые уже в возрасте в связи с карантином потеряла работу живем на папину пенсию которая вообще не на что не хватает мне очень стыдно обращаться потому что раньше я не обращалась кому либо с просьбой детские садики закрыты и у меня нету выхода чтоб найти дополнительную работу потому что мои родители часто прибаливают то давление то сердце и не в силах присматривать за детками очень стыдно обращаться но у меня больше нет выхода Пусть ваша помощь вернется вам в стократном размере спасибо вам за все благодарю создателей этого сайта за такую помощь спасибо всем!🙏🙏🙏🙏🙏никогда не думала что мы будем так нуждаться честно не верится что я куда то пишу обращаясь за помощью😭 спасибо вам за все🙏4400430187432122..карта"
"Семей","Прошу, срочно нужны фраксипарин гепарин, клексан 1уп.,дексаметозон  в ампулах- 1уп., метилпред в таблетках, "
"актобе","Срочно нужен клексан 4000/ 0, очень срочно, хотя бы 3шт"
"Нур-Султан","Здравствуйте! Очень нужны: Клексан 6000МЕ/0,6 или Фраксипарин - 10 шт. Левофлоксацин 500мг/100мл - 10 шт
Для Мамы: состояние тяжелое. Буду благодарна за помощь!
С уважением Айнур"
"Алматы","Нужен сумамед"
"Шымкент","В связи с ситуацией в стране осталась без работы. Без мужа. 4 детей. Живу в пригороде. Знаю что всем тяжело,но я сейчас в таком положении что денег нет даже на питание. Может у кого есть возможность помочь мне,я буду очень признательна. Мой номер карты Каспий 8701-361-35-73 Спасибо всем кто откликнется. 🙏🙏🙏 "
"Астана","Мы живем в Астане на съемной квартире у нас 4 детей  .Муж ему 43 заболел делали КТ признаки""матового стекла"" поражены легкие на 36% врачи сказали нужны лекарства Клексан ,фраксипарин, гепарин и ксарелто .Мы дома что делать?Помогите крик души."
"Алматы","Нужно ксарелто лекарство! Куплю!!! Могу забрать с любого адреса."
"Алматы","Куплю 1 пачку Ингавирина"
"Алматы","Срочно нужен фраксипарин,помогите пжста🙏🏻🙏🏻🙏🏻🙏🏻"
"Алматы","Клексан "
"Алматы ","Мы не можем найти лекарство Актерма пожалуйста помогите! 😢"
"Карасайский район, пос.КИЗ","У нас есть 4 флакона левофлоксацина, покупали для папы, остались лишные. Хотим поменять на препарат Ксарелто."
"Нур-Султан ","Срочно куплю кислородный концентратор "
"Алматы","Роцефин 1г, 7ампул"
"Алматы","Мне нужно Цефтриаксон 4 ампулы для инъекций. Спасибо"
"Алматы","Ксарелто препарат нужен срочно на троих. Трое тяжело больных у нас в семье"
"Алматы","У друга 80% поражения. Не можем в больницу положить. Алувиа нужна. "
"Семей","Нужен Цефтриаксон 20 ампул+лидокаин 20"
"Алматы, район Талгар","Аскорбинка в ампулах 5 штук. Глюкоза 5% 200 мл 3 штук"
"Талгар","Здравствуйте! Спасибо Вам за такую помощь. Если сможете нам найти лекарство врач выписал. Мама лежит в больнице срочно нужно диоксамитозон. Помоги найти у нас тут нет в атпеках.🤲"
"Семей","Градусник "
"Астана","Нужны ампулы цефтриаксон, И парацетамол Куплю срочно, Астана"
"Алматы","Метифрид 4 флакона "
"Алматы ","Ингавирин где купить"
"Нур-султан","ВитС 500мг, зитмак 500мг, Азитромицин 500мг, ингавирин 90мг, линекс"
"Нур-султан","Левофлоксацин"
"Кокшетау ","Здравствуйте.Пожалуйста помогите найти препарат «Номидес»из ряда ингавирин.У нас в городе нет,может быть где то в других есть?Помогите пожалуйста 🙏🏻🙏🏻🙏🏻🙏🏻"
"Алматы","Нужно калия и магния аспарагинат 250 мл 2 шт"
"Темиртау","Азитромицин 50 Эргоферо Арбидол"
"Алматы","Нужен Фраксипарин для пожилого человека. "
"Тараз ","Мне нужен препарат тамифлю. Болею уже 4 день, сильные головные боли и не домогание, ломота всего тела. Нигде не могу найти это лекарство если есть у кого в наличии продайте мне пожалуйста. У меня маленький ребёнок боюсь его заразить. "
"Алмааты","Помогите пожалуйста продуктами лекарствами.пишите пожалуйста на вацап"
"Алматы","Добрый день. Хотела бы каждого попросить скинуть хотя бы 100-200 тенге на билет домой в Актобе. На работе было сокращение, я осталась совсем без дохода. Хочу просто уехать домой, не справляюсь. Буду благодарна всем, кто поможет. Билет на поезде стоит 9000 тенге на плацкарт. Спасибо! "
"Астана","Лекарство Ксарелто куплю "
"Алматы","Аскорбинка витамин в апмулах"
"Талдыкорган","Аскорбиновая кислота в ампуле "
"Алматы","Дексаметазон 4мл"
"Алматы","Мне нужен хороший врач пульмонолог"
"Алматы","Нужен метипред 4 ампулы"
"Ленгер","Апараты нужны"
"Алматы","У моего дедушки пневмония, и ему нужен КЛЕКСАН. Пожалуйста помогите!"
"Алматы","Мой дедушка сильно болен, и ему нужны лекарства, а именно «Клексан»"
"Алматы","Нужен Дексамитазон"
"Алматы","Есть у кого витамин С Куплю срочно"
"Шортанды ","Тысячу раз думала писать не писать, всегда думала зачем люди просят когда можно работать когда знаешь что рождается ребёнок для себя, а не для государства! Или когда у известных людей просят о помощи вообще не понимала потому что считала чем шикарней жизнь тем шикарней расходы! Но до сегодняшнего дня никогда в жизни не думала что дойдёт наша семья до такой ситуации 🤕даже трафик на днях должен закончится последние дни в интернете в сфере информационной активности 😑 Вот реально для чего дипломы государственная работа стабильность когда в один момент остаёшься без продуктов и копеек на хлеб не говоря уже о лекарствах 😔 Очень тяжело когда дети просят что что-то сладкое или фрукты аж плакать хочется 😪и ради детей в долгах как в шелках в магазине. Я мама двух мальчишек и учитель работаю в школе хотя по закону ещё в декрете должна сидеть вышла из-за не хватки средств не на жизнь, а на выживание в нашем Казахстане. Живём в посёлке 60 км. От Нурсултана муж работает в городе тренером, но как начался карантин ещё с 16 марта всё пошло в пух и прах. На сегодняшний день ситуация такая что 1.продуктов нет (из лекарства только курдючный жир) 2.долги растут в магазинах просто даже из-за хлеба и молока 3.кредиты отдельная история даже говорить не хочется СТЫДНО 4.хоть крыша над головой есть, но после ливней всё стекает теперь в нашем доме происходит следующее замыкание пошло кабель сгорел неделю без света представляете как детям маленьким объяснить что света нет и не могу им из-за этого включить телевизор мультики, сотку заряжаешь у соседей , хорошо что хоть газ есть чтобы кушать готовить🙏 Как говорится мир не без добрых людей сегодня смогли нам сделать свет , но пришла квитанция что из-за долгов могут отрезать🥴как я устала вроде крутиться что что-то пытаешься сделать но всё равно не живёшь, а выживаешь! А скоро зима и снова нас всех закрыли на ЧП на что будем уголь брать даже не представляю. Но всё равно считаю что это мелочи жизни которые когда-нибудь пройдут главное что мои дети здоровы, муж рядом поддерживает спасибо Аллаху 🙌❤ Вы молодцы что так поддерживаете население хотела бы что ваша помощь в первую очередь пришла тем кто действительно нуждается! А вашим деткам кто помогает хочу пожелать главное здоровье, а ваша добро что вы делаете чтобы вам в тысячу раз вернулось ❤"
"Тараз","Папе срочно нужен ксарелто, клексан, помогите плиз найти!"
"Алматы","Прошу помочь найти дексаметазон раствор для инъекции 4мг/мл 2 ампулы. Благодарю! "
"Павлодар","Клексан 4000М 2 упаковки"
"Алматв","Срочно нужен дексаметозон. Бабушка болеет сильно."
"Алматы","Дексамитазон клексан укол оффло антибиотик система пульсоксиметр пальчиковый "
"Костанай","Нужно срочно ксарелто, куплю! Граммаж без разницы "
"Нур-султан","Родственник в инфекционке, нужен препарат ксарелта, готовы купить"
"Семей","Клесан или ксарелто"
"Алматы/ Тараз","Мне нужен дексаметазон 1 упаковка и гепарин 2 упаковки. Пожалуйста срочно🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
"Караганда","Необходим дексаметазон 10 ампул 🙏🏼 Куплю!"
"СКО Акжарский Район п. Талшык, ближайшии город Кокшетау ","Нужен Тамифлю, 2-3 упаковки, болеем всей семьёй, жена в положении, из противовирусных для беременных можно только Тамифлю, в районе нет антибиотиков и противовирусных таблеток "
"Кызылорда ","Пожалуйста мне очень нужна кислородная трубка.. ищем везде.. "
"Нур Султан ","Пожалуйста помогите найти препарат Актемра, очень срочно нужен 🙏"
"Алматы","Мне нужно Клексан 0,4"
"семей","Нужна аскорбиновая кислота 2 мл в ампулах"
"Павлодар ","Здравствуйте! Нужен препарат ДЕКСАМЕТАЗОН 12 ампул ! Буду очень благодарна🙏"
"Алматы","Срочно нужен пульсометр с измерением сатурации. В аренду. Они сильно подорожали купить не можем("
"Актау ","Алла разылыгы ушин акшалай комек сураймын. Карантин кесиринен жумыссыз калдым. Жолдасым кайтыс болды. 3 балам бар. "
"Мерке","Прошу помочь финансово, я родила 14 июня живу с бабушкой мужа, бабушке 67 лет, у нее сахар теперь подтвердилась двусторонняя пневмония. Муж находится сейчас в тюрьме за разбой уже 8 месяцев, я тянула семью сама, подрабатывала везде где возможно, но сейчас я в трудном положении, так как на получила ещё соц.выплату. я очень боюсь за жизнь бабушки, помогите пожалуйста купить лекарства и памперсы ребёнку. Мы из Мерке (Тараз) Пусть Аллах бережет Всех нас!🙏 Мой каспи голд 5169 4931 6114 0473 Айгерим"
"Семей","Курантил в таб Клексан для инъекции "
"Алматы","Срочно нужны препараты Цеф 4 и пентаглобин 50мл"
"Алматы","полиоксидоний 6мг. у кого есть или кто знает где и у кого найти просьба помочь"
"Almaty","Нужен Авелокс флаконы. "
"Алматы","нужен раствор санфлокс 3 штуки мама болеет лежит в больнице , препарата нет , заменяющего тоже нету к сожалению. Куплю за любые деньги"
"Павлодар","Лекарства,препараты, болею нету денег на препарат "
"Алматы","Дексаметазон, аскорбинка, глюкоза в каких аптеках есть ? "
"Алматы","Аскорбиновая кислота для системы . Нет ни в одной аптеки"
"Талдыкорган ","Нужны аскорбиновая кислота, глюкоза в ампулах срочно, болеют родители в возрасте"
"Нур-султан","Здравствуйте. Необходим кислородный концентратор. "
"Алматы","Срочно нужно снять КТ сегодня "
"Алматы","Добрый день всем добрым людям!! Срочно нужен дексаметазон в ампулах!! Пожалуйста "
"Нур Султан","Нужен порошок для уколов Цефтриаксон"
"Жетысай","Гепарин , Траксапарин "
"Алматы","КТ на ближайшую дату, может у кого ниб есть запись, которая уже не нужна"
"Алматы","Нужны лекарства ,родителям в городе тараз. Они оба очень сильно болеют. По всей алмате не можем найти нужные препараты,не говоря уже в таразе .прошу помогите хотябы найти их."
"Алматы ","Дексаметазон требуется в центральную больницу"
"Алматы","Срочно нужен преднизолон в ампулах."
"Алматы ","Аскорбиновая кислота "
"Петропавловск","Я мать-одиночка у меня четверо детей нуждаюсь в помощь"
"Алматы","Аскорбиновая кислота для системы. Нет ни в одной аптеки"
"Алматы","Срочно нужен Витамин С в ампулах и Эуфиллин 2,4"
"Алматы ","Прошу помочь с продуктами, живу с детьми в положении на 7 месяце, мужа нет, анализы все платные ,не могу даже их сдать,прошу вас Помогите кто чем сможет только на продукты ради детей. Не хочу чтобы они были голодны. Рахмет. Алла Разы Болсы Каспи 87076837285"
"Алматы","Клексан 4000   10 шприцов или гепари Меропенем 1000   5-10шт"
"Караганда","Очень нужен дексаметазон,человек в больнице,осложнения "
"Тараз (с. Бирлесу-Енбек)","Очень нужен специалист медсестра или врач который поставит систему родителям пенсионного возраста. Мой номер телефона 87479198428"
"Нур-султан ","Срочно нужен цефамед 1,0г, 5 шт, у кого есть позвоните пожалуйста 🙏🏻🙏🏻🙏🏻"
"Алматы","Имупрет 250 ам Клексан в таб Преднизолон или гексаметазон в ампулах Витамин с"
"Алматы","Нужен азитромицин 500 мг"
"Поселок","Здравствуйте! Очень очень нуждаемся в финансовой поддержке я мама с двумя маленькими детьми живу со своими родителями которые уже в возрасте в связи с карантином потеряла работу живем на папину пенсию которая вообще не на что не хватает мне очень стыдно обращаться потому что раньше я не обращалась кому либо с просьбой детские садики закрыты и у меня нету выхода чтоб найти дополнительную работу потому что мои родители часто прибаливают то давление то сердце и не в силах присматривать за детками очень стыдно обращаться но у меня больше нет выхода Пусть ваша помощь вернется вам в стократном размере спасибо вам за все благодарю создателей этого сайта за такую помощь спасибо всем!🙏🙏🙏🙏🙏никогда не думала что мы будем так нуждаться честно не верится что я куда то пишу обращаясь за помощью😭 спасибо вам за все🙏4400430187432122..карта"
